"01/10/15 - 01/10/16"
"Client Name","Start Time","End Time","Break Time","Worked Hours","Rate/h","Amount","Note"
"P2","7 September 2016 at 17:42:03","7 September 2016 at 19:09:40","0h 00m","1h 28m","$1,00","$1,47",""
"P1","7 September 2016 at 17:41:56","7 September 2016 at 17:41:58","0h 00m","0h 01m","$1,00","$0,02",""
"Break","7 September 2016 at 16:41:16","7 September 2016 at 17:41:48","0h 00m","1h 01m","$0,05","$0,05",""
"P2","7 September 2016 at 15:38:41","7 September 2016 at 16:41:05","0h 00m","1h 03m","$1,00","$1,05",""
"P2","4 September 2016 at 16:23:00","4 September 2016 at 17:23:00","0h 00m","1h 00m","$1,00","$1,00",""
"Break","4 September 2016 at 15:10:19","4 September 2016 at 15:59:05","0h 00m","0h 49m","$0,05","$0,04",""
"P2","4 September 2016 at 14:14:05","4 September 2016 at 15:10:14","0h 00m","0h 57m","$1,00","$0,95",""
"P2","2 September 2016 at 15:52:28","2 September 2016 at 16:51:28","0h 00m","0h 59m","$1,00","$0,98",""
"Break","31 August 2016 at 07:26:08","31 August 2016 at 09:53:12","0h 00m","2h 28m","$0,05","$0,12",""
"P2","31 August 2016 at 06:41:23","31 August 2016 at 07:26:05","0h 00m","0h 45m","$1,00","$0,75",""
"Break","26 August 2016 at 23:46:26","27 August 2016 at 00:22:10","0h 00m","0h 36m","$0,05","$0,03",""
"P2","26 August 2016 at 23:16:16","26 August 2016 at 23:46:22","0h 00m","0h 31m","$1,00","$0,52",""
"Break","26 August 2016 at 23:00:16","26 August 2016 at 23:16:08","0h 00m","0h 16m","$0,05","$0,01",""
"P2","26 August 2016 at 22:35:41","26 August 2016 at 23:00:12","0h 00m","0h 25m","$1,00","$0,42",""
"Break","26 August 2016 at 22:20:27","26 August 2016 at 22:35:38","0h 00m","0h 16m","$0,05","$0,01",""
"P2","26 August 2016 at 21:15:00","26 August 2016 at 22:20:00","0h 00m","1h 05m","$1,00","$1,08",""
"P2","25 August 2016 at 22:00:00","25 August 2016 at 22:57:00","0h 00m","0h 57m","$1,00","$0,95",""
"P2","24 August 2016 at 23:54:00","25 August 2016 at 01:14:00","0h 00m","1h 20m","$1,00","$1,33",""
"Python","24 August 2016 at 21:13:00","24 August 2016 at 23:51:00","0h 00m","2h 38m","$0,70","$1,84",""
"P2","20 August 2016 at 21:00:00","20 August 2016 at 22:45:00","0h 00m","1h 45m","$1,00","$1,75",""
"Break","19 August 2016 at 01:48:56","19 August 2016 at 01:49:02","0h 00m","0h 01m","$0,05","$0,00",""
"P2","19 August 2016 at 01:16:18","19 August 2016 at 01:48:52","0h 00m","0h 33m","$1,00","$0,55",""
"Break","19 August 2016 at 00:58:17","19 August 2016 at 01:16:13","0h 00m","0h 18m","$0,05","$0,01",""
"P2","19 August 2016 at 00:18:58","19 August 2016 at 00:58:11","0h 00m","0h 40m","$1,00","$0,67",""
"P2","18 August 2016 at 00:20:31","18 August 2016 at 01:23:00","0h 00m","1h 03m","$1,00","$1,05",""
"P2","16 August 2016 at 03:44:30","16 August 2016 at 04:05:12","0h 00m","0h 21m","$1,00","$0,35",""
"P2","16 August 2016 at 00:18:11","16 August 2016 at 01:39:22","0h 00m","1h 22m","$1,00","$1,37",""
"Break","15 August 2016 at 21:35:08","15 August 2016 at 21:35:09","0h 00m","0h 01m","$0,05","$0,00",""
"P2","15 August 2016 at 21:35:00","15 August 2016 at 22:00:00","0h 00m","0h 25m","$1,00","$0,42",""
"Break","15 August 2016 at 20:50:04","15 August 2016 at 21:09:52","0h 00m","0h 20m","$0,05","$0,02",""
"P2","15 August 2016 at 20:02:00","15 August 2016 at 20:49:00","0h 00m","0h 47m","$1,00","$0,78",""
"P2","12 August 2016 at 20:27:54","12 August 2016 at 22:12:00","0h 00m","1h 45m","$1,00","$1,75",""
"P2","12 August 2016 at 19:45:56","12 August 2016 at 20:16:37","0h 00m","0h 31m","$1,00","$0,52",""
"P2","12 August 2016 at 02:17:20","12 August 2016 at 02:53:40","0h 00m","0h 37m","$1,00","$0,62",""
"P2","11 August 2016 at 20:28:54","11 August 2016 at 21:40:45","0h 00m","1h 12m","$1,00","$1,20",""
"P2","10 August 2016 at 22:35:50","11 August 2016 at 00:58:11","0h 00m","2h 23m","$1,00","$2,38",""
"P2","9 August 2016 at 19:53:48","9 August 2016 at 20:28:39","0h 00m","0h 35m","$1,00","$0,58",""
"Break","9 August 2016 at 19:42:37","9 August 2016 at 19:53:44","0h 00m","0h 12m","$0,05","$0,01",""
"P2","9 August 2016 at 17:48:34","9 August 2016 at 19:42:32","0h 00m","1h 54m","$1,00","$1,90",""
"P2","8 August 2016 at 17:38:00","8 August 2016 at 18:38:00","0h 00m","1h 00m","$1,00","$1,00",""
"P2","7 August 2016 at 19:02:09","7 August 2016 at 19:17:54","0h 00m","0h 16m","$1,00","$0,27",""
"P2","7 August 2016 at 01:20:00","7 August 2016 at 02:51:00","0h 00m","1h 31m","$1,00","$1,52",""
"P2","6 August 2016 at 16:00:00","6 August 2016 at 16:30:00","0h 00m","0h 30m","$1,00","$0,50",""
"P2","4 August 2016 at 18:25:00","4 August 2016 at 20:33:00","0h 00m","2h 08m","$1,00","$2,13",""
"P2","4 August 2016 at 01:00:00","4 August 2016 at 03:43:00","0h 00m","2h 43m","$1,00","$2,72",""
"Break","3 August 2016 at 21:36:12","3 August 2016 at 21:51:00","0h 00m","0h 15m","$0,05","$0,01",""
"Break","3 August 2016 at 20:24:24","3 August 2016 at 21:08:26","0h 00m","0h 45m","$0,05","$0,04",""
"P2","3 August 2016 at 20:05:40","3 August 2016 at 20:24:17","0h 00m","0h 19m","$1,00","$0,32",""
"P2","27 July 2016 at 17:21:10","27 July 2016 at 17:59:07","0h 00m","0h 38m","$1,00","$0,63",""
"P2","26 July 2016 at 12:25:41","26 July 2016 at 12:47:20","0h 00m","0h 22m","$1,00","$0,37",""
"Break","26 July 2016 at 12:00:00","26 July 2016 at 12:05:00","0h 00m","0h 05m","$0,05","$0,00",""
"P2","26 July 2016 at 11:38:00","26 July 2016 at 12:00:00","0h 00m","0h 22m","$1,00","$0,37",""
"P2","26 July 2016 at 10:49:00","26 July 2016 at 11:15:00","0h 00m","0h 26m","$1,00","$0,43",""
"P2","25 July 2016 at 17:45:00","25 July 2016 at 19:44:00","0h 00m","1h 59m","$1,00","$1,98",""
"P2","24 July 2016 at 22:51:39","24 July 2016 at 22:58:51","0h 00m","0h 08m","$1,00","$0,13",""
"Break","24 July 2016 at 22:44:42","24 July 2016 at 22:51:34","0h 00m","0h 07m","$0,05","$0,01",""
"P2","24 July 2016 at 22:05:12","24 July 2016 at 22:44:28","0h 00m","0h 40m","$1,00","$0,67",""
"P2","22 July 2016 at 14:41:30","22 July 2016 at 15:34:01","0h 00m","0h 53m","$1,00","$0,88",""
"P2","22 July 2016 at 12:00:24","22 July 2016 at 12:28:56","0h 00m","0h 29m","$1,00","$0,48",""
"P2","20 July 2016 at 12:48:46","20 July 2016 at 13:13:03","0h 00m","0h 25m","$1,00","$0,42",""
"Break","20 July 2016 at 11:34:08","20 July 2016 at 12:10:06","0h 00m","0h 36m","$0,05","$0,03",""
"P2","20 July 2016 at 10:59:17","20 July 2016 at 11:34:01","0h 00m","0h 35m","$1,00","$0,58",""
"P2","19 July 2016 at 11:09:50","19 July 2016 at 11:50:16","0h 00m","0h 41m","$1,00","$0,68",""
"P2","18 July 2016 at 14:20:31","18 July 2016 at 14:53:25","0h 00m","0h 33m","$1,00","$0,55",""
"Break","18 July 2016 at 14:03:32","18 July 2016 at 14:20:25","0h 00m","0h 17m","$0,05","$0,01",""
"P2","18 July 2016 at 13:09:58","18 July 2016 at 14:03:28","0h 00m","0h 54m","$1,00","$0,90",""
"Statistics","18 July 2016 at 12:41:00","18 July 2016 at 13:09:51","0h 00m","0h 29m","$0,70","$0,34",""
"Break","18 July 2016 at 12:24:35","18 July 2016 at 12:40:49","0h 00m","0h 17m","$0,05","$0,01",""
"Python","18 July 2016 at 12:12:19","18 July 2016 at 12:24:28","0h 00m","0h 13m","$0,70","$0,15",""
"Statistics","16 July 2016 at 13:15:29","16 July 2016 at 13:43:19","0h 00m","0h 28m","$0,70","$0,33",""
"Statistics","16 July 2016 at 12:34:01","16 July 2016 at 13:11:56","0h 00m","0h 38m","$0,70","$0,44",""
"P2","14 July 2016 at 23:16:00","15 July 2016 at 00:16:00","0h 00m","1h 00m","$1,00","$1,00",""
"Other, optional ","14 July 2016 at 22:53:55","14 July 2016 at 23:16:54","0h 00m","0h 23m","$0,20","$0,08",""
"P2","11 July 2016 at 21:29:34","11 July 2016 at 22:31:55","0h 00m","1h 03m","$1,00","$1,05",""
"P2","10 July 2016 at 13:39:21","10 July 2016 at 14:43:24","0h 00m","1h 05m","$1,00","$1,08",""
"Break","10 July 2016 at 13:15:37","10 July 2016 at 13:39:16","0h 00m","0h 24m","$0,05","$0,02",""
"P2","10 July 2016 at 12:42:37","10 July 2016 at 13:15:32","0h 00m","0h 33m","$1,00","$0,55",""
"P2","9 July 2016 at 15:16:37","9 July 2016 at 18:24:23","0h 00m","3h 08m","$1,00","$3,13",""
"Break","9 July 2016 at 11:16:38","9 July 2016 at 12:05:20","0h 00m","0h 49m","$0,05","$0,04",""
"Other, optional ","9 July 2016 at 10:55:48","9 July 2016 at 11:16:31","0h 00m","0h 21m","$0,20","$0,07",""
"P2","8 July 2016 at 06:52:29","8 July 2016 at 07:56:02","0h 00m","1h 04m","$1,00","$1,07",""
"P2","6 July 2016 at 22:45:00","6 July 2016 at 23:16:00","0h 00m","0h 31m","$1,00","$0,52",""
"P2","5 July 2016 at 21:42:42","5 July 2016 at 22:23:03","0h 00m","0h 41m","$1,00","$0,68",""
"P2","2 July 2016 at 21:37:08","3 July 2016 at 00:14:52","0h 00m","2h 38m","$1,00","$2,63",""
"Break","2 July 2016 at 21:34:09","2 July 2016 at 21:37:04","0h 00m","0h 03m","$0,05","$0,00",""
"P2","2 July 2016 at 21:31:55","2 July 2016 at 21:34:06","0h 00m","0h 03m","$1,00","$0,05",""
"Break","2 July 2016 at 21:26:56","2 July 2016 at 21:31:25","0h 00m","0h 05m","$0,05","$0,00",""
"Other, optional ","2 July 2016 at 20:44:11","2 July 2016 at 21:26:53","0h 00m","0h 43m","$0,20","$0,14",""
"P2","2 July 2016 at 17:16:55","2 July 2016 at 17:49:05","0h 00m","0h 33m","$1,00","$0,55",""
"P2","1 July 2016 at 20:02:00","1 July 2016 at 23:02:00","0h 00m","3h 00m","$1,00","$3,00",""
"P2","30 June 2016 at 21:17:36","30 June 2016 at 22:44:04","0h 00m","1h 27m","$1,00","$1,45",""
"Other, optional ","28 June 2016 at 21:47:00","28 June 2016 at 22:47:00","0h 00m","1h 00m","$0,20","$0,20",""
"P1","27 June 2016 at 07:30:00","27 June 2016 at 08:15:00","0h 00m","0h 45m","$1,00","$0,75",""
"P2","25 June 2016 at 17:37:39","25 June 2016 at 18:22:28","0h 00m","0h 45m","$1,00","$0,75",""
"Break","25 June 2016 at 17:07:00","25 June 2016 at 17:37:00","0h 00m","0h 30m","$0,05","$0,03",""
"P2","25 June 2016 at 16:28:00","25 June 2016 at 17:06:00","0h 00m","0h 38m","$1,00","$0,63",""
"P2","25 June 2016 at 09:49:33","25 June 2016 at 10:46:40","0h 00m","0h 58m","$1,00","$0,97",""
"Break","25 June 2016 at 09:47:49","25 June 2016 at 09:49:03","0h 00m","0h 02m","$0,05","$0,00",""
"P2","25 June 2016 at 09:21:09","25 June 2016 at 09:47:46","0h 00m","0h 27m","$1,00","$0,45",""
"Other, optional ","25 June 2016 at 09:17:20","25 June 2016 at 09:21:04","0h 00m","0h 04m","$0,20","$0,01",""
"P2","24 June 2016 at 07:40:00","24 June 2016 at 08:13:00","0h 00m","0h 33m","$1,00","$0,55",""
"P2","23 June 2016 at 21:29:16","23 June 2016 at 22:52:38","0h 00m","1h 24m","$1,00","$1,40",""
"P2","22 June 2016 at 07:02:13","22 June 2016 at 08:14:52","0h 00m","1h 13m","$1,00","$1,22",""
"P2","20 June 2016 at 18:28:43","20 June 2016 at 18:53:44","0h 00m","0h 25m","$1,00","$0,42",""
"P2","19 June 2016 at 14:23:32","19 June 2016 at 16:25:28","0h 00m","2h 02m","$1,00","$2,03",""
"Break","19 June 2016 at 14:04:50","19 June 2016 at 14:23:19","0h 00m","0h 19m","$0,05","$0,02",""
"Other, optional ","19 June 2016 at 13:32:57","19 June 2016 at 14:04:47","0h 00m","0h 32m","$0,20","$0,11",""
"Break","19 June 2016 at 12:22:16","19 June 2016 at 13:25:51","0h 00m","1h 04m","$0,05","$0,05",""
"P2","19 June 2016 at 12:15:15","19 June 2016 at 12:22:13","0h 00m","0h 07m","$1,00","$0,12",""
"P2","17 June 2016 at 19:05:23","17 June 2016 at 19:38:52","0h 00m","0h 34m","$1,00","$0,57",""
"P1","17 June 2016 at 07:40:00","17 June 2016 at 08:25:00","0h 00m","0h 45m","$1,00","$0,75",""
"P1","15 June 2016 at 19:56:21","15 June 2016 at 20:08:24","0h 00m","0h 13m","$1,00","$0,22",""
"P1","15 June 2016 at 18:08:03","15 June 2016 at 18:18:50","0h 00m","0h 11m","$1,00","$0,18",""
"Break","15 June 2016 at 17:58:11","15 June 2016 at 18:08:00","0h 00m","0h 10m","$0,05","$0,01",""
"P1","15 June 2016 at 17:57:54","15 June 2016 at 17:58:07","0h 00m","0h 01m","$1,00","$0,02",""
"P1","13 June 2016 at 23:15:00","14 June 2016 at 01:03:00","0h 00m","1h 48m","$1,00","$1,80",""
"Break","13 June 2016 at 20:55:45","13 June 2016 at 20:59:41","0h 00m","0h 04m","$0,05","$0,00",""
"P1","13 June 2016 at 19:49:00","13 June 2016 at 20:46:00","0h 00m","0h 57m","$1,00","$0,95",""
"Other, optional ","12 June 2016 at 15:18:00","12 June 2016 at 16:18:00","0h 00m","1h 00m","$0,20","$0,20",""
"Other, optional ","11 June 2016 at 23:18:00","12 June 2016 at 00:18:00","0h 00m","1h 00m","$0,20","$0,20",""
"Other, optional ","9 June 2016 at 07:17:00","9 June 2016 at 08:52:00","0h 00m","1h 35m","$0,20","$0,32",""
"P1","7 June 2016 at 08:32:12","7 June 2016 at 08:56:08","0h 00m","0h 24m","$1,00","$0,40",""
"P1","5 June 2016 at 13:11:39","5 June 2016 at 14:31:56","0h 00m","1h 21m","$1,00","$1,35",""
"Break","5 June 2016 at 12:40:59","5 June 2016 at 13:11:34","0h 00m","0h 31m","$0,05","$0,03",""
"P1","5 June 2016 at 12:21:43","5 June 2016 at 12:38:23","0h 00m","0h 17m","$1,00","$0,28",""
"P1","4 June 2016 at 10:37:28","4 June 2016 at 11:43:52","0h 00m","1h 07m","$1,00","$1,12",""
"Python","4 June 2016 at 10:08:18","4 June 2016 at 10:37:25","0h 00m","0h 30m","$0,70","$0,35",""
"P1","4 June 2016 at 09:43:31","4 June 2016 at 10:08:13","0h 00m","0h 25m","$1,00","$0,42",""
"Break","4 June 2016 at 09:28:30","4 June 2016 at 09:43:28","0h 00m","0h 15m","$0,05","$0,01",""
"P1","3 June 2016 at 08:32:35","3 June 2016 at 08:37:40","0h 00m","0h 06m","$1,00","$0,10",""
"Other, needed","3 June 2016 at 08:06:19","3 June 2016 at 08:32:30","0h 00m","0h 27m","$0,70","$0,32",""
"P1","2 June 2016 at 07:08:00","2 June 2016 at 08:00:00","0h 00m","0h 52m","$1,00","$0,87",""
"P1","1 June 2016 at 22:45:00","1 June 2016 at 23:10:00","0h 00m","0h 25m","$1,00","$0,42",""
"Python","1 June 2016 at 22:29:07","1 June 2016 at 22:45:18","0h 00m","0h 17m","$0,70","$0,20",""
"Break","1 June 2016 at 22:27:54","1 June 2016 at 22:29:00","0h 00m","0h 02m","$0,05","$0,00",""
"Python","1 June 2016 at 22:27:36","1 June 2016 at 22:27:49","0h 00m","0h 01m","$0,70","$0,01",""
"Break","1 June 2016 at 22:26:26","1 June 2016 at 22:27:32","0h 00m","0h 02m","$0,05","$0,00",""
"Other, optional ","1 June 2016 at 22:25:47","1 June 2016 at 22:26:11","0h 00m","0h 01m","$0,20","$0,00",""
"P1","1 June 2016 at 22:21:17","1 June 2016 at 22:25:33","0h 00m","0h 05m","$1,00","$0,08",""
"Other, optional ","1 June 2016 at 21:31:14","1 June 2016 at 22:21:14","0h 00m","0h 50m","$0,20","$0,17",""
"Python","1 June 2016 at 21:14:03","1 June 2016 at 21:24:45","0h 00m","0h 11m","$0,70","$0,13",""
"P1","31 May 2016 at 07:19:18","31 May 2016 at 08:06:00","0h 00m","0h 47m","$1,00","$0,78",""
"Other, needed","31 May 2016 at 06:43:51","31 May 2016 at 07:19:13","0h 00m","0h 36m","$0,70","$0,42",""
"P1","29 May 2016 at 22:34:00","30 May 2016 at 00:04:00","0h 00m","1h 30m","$1,00","$1,50",""
"Break","29 May 2016 at 22:02:12","29 May 2016 at 22:31:46","0h 00m","0h 30m","$0,05","$0,03",""
"P1","29 May 2016 at 21:32:08","29 May 2016 at 22:02:08","0h 00m","0h 30m","$1,00","$0,50",""
"Break","29 May 2016 at 21:20:33","29 May 2016 at 21:32:04","0h 00m","0h 12m","$0,05","$0,01",""
"P1","29 May 2016 at 21:13:11","29 May 2016 at 21:20:30","0h 00m","0h 08m","$1,00","$0,13",""
"P1","29 May 2016 at 17:53:28","29 May 2016 at 18:23:53","0h 00m","0h 31m","$1,00","$0,52",""
"Break","29 May 2016 at 17:34:04","29 May 2016 at 17:53:17","0h 00m","0h 20m","$0,05","$0,02",""
"P1","29 May 2016 at 17:13:59","29 May 2016 at 17:33:56","0h 00m","0h 20m","$1,00","$0,33",""
"Statistics","26 May 2016 at 07:17:35","26 May 2016 at 07:43:41","0h 00m","0h 27m","$0,70","$0,32",""
"Statistics","25 May 2016 at 07:22:10","25 May 2016 at 08:14:52","0h 00m","0h 53m","$0,70","$0,62",""
"P1","25 May 2016 at 06:46:58","25 May 2016 at 07:22:06","0h 00m","0h 36m","$1,00","$0,60",""
"Other, optional ","24 May 2016 at 19:17:00","24 May 2016 at 19:32:00","0h 00m","0h 15m","$0,20","$0,05",""
"P1","22 May 2016 at 21:04:06","22 May 2016 at 21:28:14","0h 00m","0h 25m","$1,00","$0,42",""
"Other, optional ","22 May 2016 at 20:37:00","22 May 2016 at 21:00:00","0h 00m","0h 23m","$0,20","$0,08",""
"P1","22 May 2016 at 20:22:23","22 May 2016 at 20:37:20","0h 00m","0h 15m","$1,00","$0,25",""
"Break","22 May 2016 at 20:06:50","22 May 2016 at 20:22:19","0h 00m","0h 16m","$0,05","$0,01",""
"P1","22 May 2016 at 19:32:42","22 May 2016 at 20:06:46","0h 00m","0h 35m","$1,00","$0,58",""
"P1","22 May 2016 at 15:22:30","22 May 2016 at 16:17:19","0h 00m","0h 55m","$1,00","$0,92",""
"P1","21 May 2016 at 17:00:00","21 May 2016 at 17:33:00","0h 00m","0h 33m","$1,00","$0,55",""
"P1","21 May 2016 at 16:17:46","21 May 2016 at 16:20:07","0h 00m","0h 03m","$1,00","$0,05",""
"Python","21 May 2016 at 13:46:41","21 May 2016 at 14:01:29","0h 00m","0h 15m","$0,70","$0,17",""
"Python","21 May 2016 at 13:08:36","21 May 2016 at 13:14:45","0h 00m","0h 07m","$0,70","$0,08",""
"Break","21 May 2016 at 13:03:54","21 May 2016 at 13:08:30","0h 00m","0h 05m","$0,05","$0,00",""
"Python","21 May 2016 at 12:48:44","21 May 2016 at 13:03:48","0h 00m","0h 16m","$0,70","$0,19",""
"Break","21 May 2016 at 12:44:51","21 May 2016 at 12:48:39","0h 00m","0h 04m","$0,05","$0,00",""
"Python","21 May 2016 at 12:29:07","21 May 2016 at 12:44:45","0h 00m","0h 16m","$0,70","$0,19",""
"P1","21 May 2016 at 09:22:49","21 May 2016 at 09:47:32","0h 00m","0h 25m","$1,00","$0,42",""
"Other, optional ","21 May 2016 at 09:19:53","21 May 2016 at 09:22:46","0h 00m","0h 03m","$0,20","$0,01",""
"Resource gathering","21 May 2016 at 09:05:03","21 May 2016 at 09:19:47","0h 00m","0h 15m","$0,30","$0,07",""